,,,,Chlamydia trachomatis D/UW3,,,,,,,,,FUNCTIONAL ANNOTATIONS,,,,,,,,,,,,,EXPRESSION DATA,,,,,,,,,,MUTANTS,,,STRUCTURAL MODELS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ORTHOLOGS,,,,,,,136 (15%),136,212 (24%),212,101 (11%),101,68 (8%),68,52 (6%),52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FullGeneName,GeneID,Uniprot ID,GeneName,Length (bp),Len,Length,PZ,OrthologID_L2,OrthologID_CM,Product,Mass (kD),UniprotID,Function,Annot Color,Membrane,Mem true,Hypothetical,Hyp true,DNA bind,DNA true,Secreted,Secr true,Inc,Inc true,Protein Family,EB,RB,EB vs RB,1h,3h,8h,16h,24h,40h,Expression 📈,Tn,λRed KO,PDB ID,PDB,PDB file,StructureImage,PDBImageURL,AlphaFold linky,AlphaFold ID,ModelImage,AFImageURL,mmCIF file,Version,Structural homology inferred function,Biological Process,Cellular Component,Molecular Function,Subcell,Subcellular Location (formula),Subcellular Location,Subunit,Subunit Structure (formula),Subunit Structure,Favorite
 CT001,CT001,O84004,,90,90,,,CTL0256,TC0269,Membrane associated protein,9.8,O84004,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,NQ,ND,ND,-,-,-,582,483,298,,,,,,,,,O84004,O84004,,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/AFmodels/DUW3/CT001.png,CT001.cif,AF2,None,,membrane [GO:0016020],,,,,,,,FALSE
gatC CT002,CT002,O84005,gatC,100,100,,,CTL0257,TC0270,Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-),11.1,O84005,Translation,BED630,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,GatC family,19,ND,,-,-,83,362,398,353,,,,,,,,,O84005,O84005,,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/AFmodels/DUW3/CT002.png,,,,regulation of translational fidelity [GO:0006450]; translation [GO:0006412],,asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,,,"SUBUNIT: Heterotrimer of A, B and C subunits. {ECO:0000250}.","Heterotrimer of A, B and C subunits. {ECO:0000250}.","Heterotrimer of A, B and C subunits. {ECO:0000250}.",
gatA CT003,CT003,O84006,gatA,491,491,,,CTL0258,TC0271,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7),53.6,O84006,Translation,BED630,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,"Amidase family, GatA subfamily",119,76,,-,-,265,182,743,549,,,,,,,,,O84006,O84006,,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/AFmodels/DUW3/CT003.png,,,,translation [GO:0006412],glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956],ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,,,"SUBUNIT: Heterotrimer of A, B and C subunits. {ECO:0000250}.","Heterotrimer of A, B and C subunits. {ECO:0000250}.","Heterotrimer of A, B and C subunits. {ECO:0000250}.",
gatB CT004,CT004,O84007,gatB,488,488,,,CTL0259,TC0272,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-),55.0,O84007,Translation,BED630,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,"GatB/GatE family, GatB subfamily",84,40,,-,-,-,222,629,615,,,,,,,,,O84007,O84007,,https://raw.githubusercontent.com/khybiske/ChlamDB/refs/heads/main/AFmodels/DUW3/CT004.png,,,,glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; translation [GO:0006412],,asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,,,"SUBUNIT: Heterotrimer of A, B and C subunits. {ECO:0000250}.","Heterotrimer of A, B and C subunits. {ECO:0000250}.","Heterotrimer of A, B and C subunits. {ECO:0000250}.",
 CT005,CT005,O84008,,363,363,,,CTL0260,TC0273,Uncharacterized protein CT_005,39.6,O84008,Inclusion membrane protein,E4B47E,,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,Chlamydial CPn_0443/CT_005/TC_0273 family,13,ND,,-,85,246,367,357,326,,,,,,,,,O84008,O84008,,,O84008.cif,AF2,None,,plasma membrane [GO:0005886],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,,,,
 CT006,CT006,O84009,,189,189,,,CTL0261,TC0274,Uncharacterized protein CT_006,20.2,O84009,Inclusion membrane protein,E4B47E,,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,Chlamydial CPn_0442/CT_006/TC_0274 family,ND,ND,ND,-,114,327,354,368,356,,,,,,,,,O84009,O84009,,,O84009.cif,AF2,,,plasma membrane [GO:0005886],,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,,,,
 CT007,CT007,O84010,,316,316,,,CTL0262,TC0275,Uncharacterized protein CT_007,35.6,O84010,Unknown,AAAAAA,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,Chlamydial CPn_0441/CT_007/TC_0275 family,NQ,ND,ND,-,-,-,114,213,256,,,,,,,,,O84010,O84010,,https://github.com/khybiske/ChlamDB/blob/main/AFmodels/DUW3/CT007.png,CT007.cif,AF2,Outer membrane channel (4RL8); probable transporter,,,,,,,,,,
rnhC CT008,CT008,O84011,rnhC,300,300,,,CTL0263,TC0276,Ribonuclease HIII (RNase HIII) (EC 3.1.26.4),33.0,O84011,Transcription,FCB814,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,"RNase HII family, RnhC subfamily",NQ,ND,ND,-,-,-,81,182,156,,,,,,,,,O84011,O84011,,,,,,"DNA replication, removal of RNA primer [GO:0043137]; mismatch repair [GO:0006298]",cytoplasm [GO:0005737]; ribonuclease H2 complex [GO:0032299],magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,Cytoplasm {ECO:0000305}.,Cytoplasm {ECO:0000305}.,,,,
